"";"disease";"srp";"assay";"pubmedid";"patient.information";"comments"
"5";"SLE";"srp028945";"mirna-seq";"24645875";"no access";""
"8";"SLE";"srp062966";"rna-seq";"26382853";"cell line";""
"9";"SLE";"srp073191";"rna-seq";"27835693";"advanced set";"age,anti-dsDNA,anti-ENA, clinical manifestation, SLEDAI, medication"
"10";"SLE";"srp095109";"rna-seq";"-";"no publication listed";""
"11";"SLE";"srp095209";"rna-seq";"28420548";"rudimentary set";"RA-/#MTX, MS (disease groups)"
"12";"SLE";"srp119065";"rna-seq";"-";"no publication listed";""
"14";"SLE";"srp131775";"rna-seq";"30478422";"rudimentary set";"LN stage, minimal info on healthy controls"
"16";"SLE";"srp132939";"rna-seq";"29669944";"advanced set";"demographics, history (smoking,T2D,Hypertension), SLE history (duration,lab parameter),medications, clinical chemistry"
"17";"SLE";"srp133278";"rna-seq";"29717110";"advanced set";"age, sledai, c3/3,esr,crp,auto-ab,medication"
"18";"SLE";"srp136102";"rna-seq";"31921420,31890206";"medium set";"SLEDAI, disease manifestation, current med"
"23";"SLE";"srp156583";"rna-seq";"31263277";"advanced set";"group,demographics,SLEDAI,medication, ANA reactivoty, prominent clinical features, for each patient"
"25";"SLE";"srp156606";"rna-seq";"30130253";"mus musculus";""
"26";"SLE";"srp166055";"rna-seq";"-";"no publication listed";""
"27";"SLE";"srp166968";"ncrna-seq";"-";"no publication listed";""
"28";"SLE";"srp168421";"rna-seq";"30455304";"rudimentary set";"only demographic"
"29";"SLE";"srp189104";"rna-seq";"31780527";"advanced set";"demographic, sledai, severity, immunsupprevise therapiy, manifestation, comorbidities, medication, serological (e.g. anti-DNA, C3/4)"
"32";"SLE";"srp220690";"rna-seq";"-";"no publication listed";""
"33";"SLE";"srp221351";"rna-seq";"31616406";"medium set";"demographics, SLEDAI, medication"
"34";"SLE";"srp226877";"rna-seq";"31754025";"medium set";""
"35";"SLE";"srp237539";"rna-seq";"31754025";"medium set";"demographics, SLEDAI, medication, disease duration"
"39";"SLE";"srp276219";"rna-seq";"-";"no publication listed";""
"40";"SLE";"erp110386";"rna-seq";"-";"no publication listed";""
"41";"SLE";"srp274175";"rna-seq";"32818496";"mus musculus";""
"42";"SLE";"srp267855 ";"rna-seq";"32628254";"rudimentary set";""
"44";"SLE";"SRP250015";"rna-seq";"32608557";"mus musculus";""
"45";"SLE";"SRP238856";"rna-seq";"32094169";"mus musculus";"& healthy human"
"46";"SLE";"SRP178271";"rna-seq";"31877319";"medium set";"Sex,race,serology,medication"
"47";"SLE";"SRP178271";"rna-seq";"30745462";"no patient information";"other than which sample is disease/normal"
"48";"SLE";"SRP220997";"rna-seq";"31877114";"no patient information";""
"49";"SLE";"SRP201998";"rna-seq";"31391335";"mus musculus";""
"50";"SLE";"SRP127986 ";"rna-seq";"30962246";"advanced set";"demographics, clinical hist, lab values, SLE activity, medications, adverse preg outcom"
"51";"SLE";"SRP166781";"rna-seq";"30518690";"mus musculus";"lupus"
"52";"SLE";"SRP131173";"rna-seq";"30462277";"no patient information";"human and mus musculus; on SRA no info about SLE"
"53";"SLE";"SRP153809";"rna-seq";"30230983";"cell line";""
"54";"SLE";"ERP110303";"rna-seq";"30220882";"cell line";""
"55";"SLE";"SRP159206";"rna-seq";"30185675";"advanced set";"age,sex,race,sle duration, SELENA-SLEDAI mean, lab parameter (e.g. WBC, anti-dsDNA,C3), medication"
"56";"SLE";"SRP132142";"rna-seq";"29922125";"Sus scrofa";""
"57";"SLE";"SRP103106";"rna-seq";"28584005";"mus musculus";""
"58";"SLE";"SRP103040";"rna-seq";"28469080";"medium set";"demographics,disease duration, SELENA-SLEDAI score"
"59";"SLE";"SRP090301";"rna-seq";"28438897";"mus musculus";""
"60";"SLE";"SRP100742 ";"rna-seq";"28339495";"medium set";"age,sex,disease duration, SELENA-SLEDAI score"
"61";"SLE";"SRP034564";"rna-seq";"24796678,26839600";"advanced set";"organ involvement, medications, autoantibodies, sledai, physician estimate (for each patient ind.)"
"62";"SLE";"SRP115577";"rna-seq";"27835701";"medium set";"LN class, SLEDAI, demographics"
