disease	samples	source
GPA	7	transcriptomic
GPA	324	metagenomic
SLE	324	metagenomic
SLE	555	genomic
SLE	821	transcriptomic
SLE	88	other
SLE	1	synthetic
SysSclerosis	99	genomic
SysSclerosis	654	transcriptomic
Synovitis	32	transcriptomic
Synovitis	2	metagenomic
JIA	559	transcriptomic
JIA	46	genomic
JIA	168	metagenomic
OA	305	genomic
OA	943	transcriptomic
OA	138	metagenomic
Sjoegren	200	transcriptomic
Sjoegren	126	metagenomic
Uveitis	88	transcriptomic
Uveitis	1	genomic
MyoPolyDerma	1	metagenomic
MyoPolyDerma	188	transcriptomic
MyoPolyDerma	56	genomic
RA	6597	transcriptomic
RA	611	genomic
RA	1125	metagenomic
RA	1	other
RA	149	transcriptomic single cell
SpA	456	metagenomic
SpA	110	genomic
SpA	75	transcriptomic
Vasculitis	41	metagenomic
Vasculitis	80	genomic
AutoSyn	8	transcriptomic
PsA	48	transcriptomic
SLE	12	transcriptomic
SLE	1568	transcriptomic
SLE	12	transcriptomic
SLE	6	transcriptomic
SLE	2	transcriptomic
SLE	5	transcriptomic
SLE	30	transcriptomic
SLE	29	transcriptomic
SLE	17	transcriptomic
SLE	65	genomic
SLE	164	transcriptomic
SLE	40	transcriptomic
SLE	9	transcriptomic
SLE	5	transcriptomic
SLE	24	transcriptomic
SLE	2	transcriptomic
SLE	6	transcriptomic
